BrokerName	QueryDateTime	SalePrice	
wisecars	10:52.0	£34.440177904	
edreams	10:52.0	£28.765375863	
argus car hire	10:52.0	£32.287666785	
holiday autos	10:52.0	£32.287666785	
easycar	10:52.0	£33.657446588	
argus car hire	10:52.0	£29.156741521	
edreams	10:52.0	£30.135155666	
holiday autos	10:52.0	£30.917886982	
bsp-auto	10:52.0	£33.853129417	
easycar	10:52.0	£36.201323365	
wisecars	10:52.0	£72.40264673	
argus car hire	10:52.0	£30.526521324	
holiday autos	10:52.0	£30.526521324	
edreams	10:52.0	£31.30925264	
bsp-auto	10:52.0	£34.831543562	
easycar	10:52.0	£36.788371852	
wisecars	10:52.0	£39.332248629	
argus car hire	10:52.0	£32.287666785	
holiday autos	10:52.0	£32.287666785	
edreams	10:52.0	£32.874715272	
wisecars	10:52.0	£36.592689023	
easycar	10:52.0	£38.940882971	
argus car hire	10:52.0	£32.287666785	
holiday autos	10:52.0	£32.287666785	
edreams	10:52.0	£33.070398101	
bsp-auto	10:52.0	£36.397006194	
easycar	10:52.0	£38.940882971	
wisecars	10:52.0	£41.680442577	
argus car hire	10:52.0	£32.874715272	
holiday autos	10:52.0	£32.874715272	
edreams	10:52.0	£33.657446588	
bsp-auto	10:52.0	£35.614274878	
easycar	10:52.0	£39.723614287	
bsp-auto	10:52.0	£33.461763759	
argus car hire	10:52.0	£34.831543562	
holiday autos	10:52.0	£34.831543562	
edreams	10:52.0	£35.418592049	
bsp-auto	10:52.0	£37.17973751	
wisecars	10:52.0	£40.310662774	
easycar	10:52.0	£41.876125406	
argus car hire	10:52.0	£38.353834484	
holiday autos	10:52.0	£38.353834484	
edreams	10:52.0	£40.702028432	
easycar	10:52.0	£46.181147644	
wisecars	10:52.0	£62.61850528	
argus car hire	10:52.0	£38.549517313	
holiday autos	10:52.0	£38.549517313	
edreams	10:52.0	£39.332248629	
bsp-auto	10:52.0	£43.245905209	
easycar	10:52.0	£46.572513302	
argus car hire	10:52.0	£40.310662774	
holiday autos	10:52.0	£40.310662774	
edreams	10:52.0	£41.09339409	
easycar	10:52.0	£48.725024421	
holiday autos	10:52.0	£21.133745532	
argus car hire	10:52.0	£21.52511119	
edreams	10:52.0	£22.307842506	
easycar	10:52.0	£25.830133428	
holiday autos	10:52.0	£23.090573822	
argus car hire	10:52.0	£23.677622309	
edreams	10:52.0	£24.460353625	
easycar	10:52.0	£28.569693034	
holiday autos	10:52.0	£24.264670796	
argus car hire	10:52.0	£24.851719283	
edreams	10:52.0	£25.634450599	
easycar	10:52.0	£29.939472837	
bsp-auto	10:52.0	£24.656036454	
argus car hire	10:52.0	£26.808547573	
holiday autos	10:52.0	£26.808547573	
edreams	10:52.0	£27.39559606	
bsp-auto	10:52.0	£31.113569811	
easycar	10:52.0	£32.091983956	
argus car hire	10:52.0	£27.591278889	
holiday autos	10:52.0	£27.786961718	
edreams	10:52.0	£28.374010205	
bsp-auto	10:52.0	£32.091983956	
easycar	10:52.0	£33.26608093	
bsp-auto	10:52.0	£27.982644547	
bsp-auto	10:52.0	£27.982644547	
holiday autos	10:52.0	£28.765375863	
argus car hire	10:52.0	£29.548107179	
edreams	10:52.0	£30.330838495	
easycar	10:52.0	£35.418592049	
goldcar	10:52.0	£34.440177904	
argus car hire	10:52.0	£30.135155666	
holiday autos	10:52.0	£30.135155666	
edreams	10:52.0	£30.917886982	
bsp-auto	10:52.0	£34.440177904	
easycar	10:52.0	£36.397006194	
wisecars	10:52.0	£38.940882971	
argus car hire	10:52.0	£30.135155666	
edreams	10:52.0	£30.917886982	
holiday autos	10:52.0	£35.027226391	
easycar	10:52.0	£36.397006194	
argus car hire	10:52.0	£30.330838495	
edreams	10:52.0	£31.30925264	
holiday autos	10:52.0	£32.091983956	
bsp-auto	10:52.0	£35.22290922	
goldcar	10:52.0	£35.809957707	
easycar	10:52.0	£37.571103168	
wisecars	10:52.0	£74.163792191	
argus car hire	10:52.0	£30.722204153	
holiday autos	10:52.0	£30.722204153	
edreams	10:52.0	£31.504935469	
bsp-auto	10:52.0	£35.027226391	
easycar	10:52.0	£36.984054681	
wisecars	10:52.0	£39.723614287	
bsp-auto	10:52.0	£31.504935469	
bsp-auto	10:52.0	£34.244495075	
bsp-auto	10:52.0	£32.287666785	
argus car hire	10:52.0	£32.287666785	
holiday autos	10:52.0	£32.287666785	
edreams	10:52.0	£33.070398101	
easycar	10:52.0	£38.940882971	
wisecars	10:52.0	£41.680442577	
bsp-auto	10:52.0	£32.287666785	
argus car hire	10:52.0	£32.874715272	
holiday autos	10:52.0	£32.874715272	
edreams	10:52.0	£33.657446588	
bsp-auto	10:52.0	£34.244495075	
easycar	10:52.0	£39.723614287	
edreams	10:52.0	£33.657446588	
argus car hire	10:52.0	£34.244495075	
holiday autos	10:52.0	£34.244495075	
bsp-auto	10:52.0	£35.22290922	
easycar	10:52.0	£39.723614287	
argus car hire	10:52.0	£33.853129417	
holiday autos	10:52.0	£33.853129417	
edreams	10:52.0	£34.635860733	
bsp-auto	10:52.0	£36.592689023	
easycar	10:52.0	£40.897711261	
bsp-auto	10:52.0	£34.244495075	
argus car hire	10:52.0	£35.418592049	
holiday autos	10:52.0	£35.418592049	
edreams	10:52.0	£36.201323365	
bsp-auto	10:52.0	£36.592689023	
easycar	10:52.0	£42.658856722	
bsp-auto	10:52.0	£35.614274878	
argus car hire	10:52.0	£35.614274878	
holiday autos	10:52.0	£35.614274878	
edreams	10:52.0	£36.201323365	
bsp-auto	10:52.0	£37.17973751	
wisecars	10:52.0	£40.506345603	
easycar	10:52.0	£42.854539551	
argus car hire	10:52.0	£35.809957707	
holiday autos	10:52.0	£35.809957707	
edreams	10:52.0	£36.397006194	
bsp-auto	10:52.0	£38.353834484	
wisecars	10:52.0	£41.289076919	
easycar	10:52.0	£43.05022238	
edreams	10:52.0	£36.005640536	
argus car hire	10:52.0	£36.788371852	
holiday autos	10:52.0	£36.788371852	
bsp-auto	10:52.0	£37.766785997	
easycar	10:52.0	£42.658856722	
argus car hire	10:52.0	£36.592689023	
holiday autos	10:52.0	£36.592689023	
edreams	10:52.0	£37.375420339	
bsp-auto	10:52.0	£41.09339409	
easycar	10:52.0	£44.224319354	
wisecars	10:52.0	£76.903351797	
bsp-auto	10:52.0	£36.984054681	
bsp-auto	10:52.0	£36.984054681	
argus car hire	10:52.0	£37.375420339	
holiday autos	10:52.0	£37.375420339	
edreams	10:52.0	£38.158151655	
bsp-auto	10:52.0	£41.876125406	
easycar	10:52.0	£45.202733499	
wisecars	10:52.0	£48.333658763	
argus car hire	10:52.0	£37.766785997	
edreams	10:52.0	£38.745200142	
holiday autos	10:52.0	£40.114979945	
bsp-auto	10:52.0	£43.832953696	
goldcar	10:52.0	£44.811367841	
easycar	10:52.0	£46.96387896	
wisecars	10:52.0	£85.317713444	
edreams	10:52.0	£37.962468826	
argus car hire	10:52.0	£42.854539551	
holiday autos	10:52.0	£42.854539551	
easycar	10:52.0	£45.00705067	
edreams	10:52.0	£38.549517313	
argus car hire	10:52.0	£39.332248629	
holiday autos	10:52.0	£39.332248629	
easycar	10:52.0	£45.594099157	
wisecars	10:52.0	£86.491810418	
argus car hire	10:52.0	£39.919297116	
holiday autos	10:52.0	£39.919297116	
edreams	10:52.0	£42.463173893	
easycar	10:52.0	£48.137975934	
wisecars	10:52.0	£63.792602254	
bsp-auto	10:52.0	£40.310662774	
argus car hire	10:52.0	£40.897711261	
holiday autos	10:52.0	£40.897711261	
edreams	10:52.0	£41.484759748	
easycar	10:52.0	£49.312072908	
bsp-auto	10:52.0	£41.09339409	
argus car hire	10:52.0	£41.09339409	
holiday autos	10:52.0	£41.09339409	
edreams	10:52.0	£41.876125406	
bsp-auto	10:52.0	£43.832953696	
easycar	10:52.0	£49.703438566	
holiday autos	10:52.0	£41.484759748	
argus car hire	10:52.0	£42.463173893	
bsp-auto	10:52.0	£47.355244618	
argus car hire	10:52.0	£47.942293105	
holiday autos	10:52.0	£48.137975934	
edreams	10:52.0	£48.725024421	
easycar	10:52.0	£57.530751726	
wisecars	10:52.0	£59.291897187	
argus car hire	10:52.0	£50.486169882	
holiday autos	10:52.0	£50.486169882	
edreams	10:52.0	£51.073218369	
easycar	10:52.0	£60.857359819	
wisecars	10:52.0	£62.422822451	
bsp-auto	10:52.0	£52.051632514	
wisecars	10:52.0	£56.356654752	
edreams	10:52.0	£57.530751726	
argus car hire	10:52.0	£57.530751726	
easycar	10:52.0	£57.530751726	
holiday autos	10:52.0	£57.530751726	
edreams	10:52.0	£43.05022238	
easycar	10:52.0	£51.073218369	
argus car hire	10:52.0	£43.441588038	
holiday autos	10:52.0	£43.441588038	
edreams	10:52.0	£44.028636525	
bsp-auto	10:52.0	£45.398416328	
wisecars	10:52.0	£50.290487053	
easycar	10:52.0	£52.442998172	
argus car hire	10:52.0	£43.441588038	
