QueryDateTime	BrokerName	LocationName	
10:52.0	wisecars	Bologna Airport	
10:52.0	edreams	Bologna Airport	
10:52.0	argus car hire	Bologna Airport	
10:52.0	holiday autos	Bologna Airport	
10:52.0	easycar	Bologna Airport	
10:52.0	argus car hire	Bologna Airport	
10:52.0	edreams	Bologna Airport	
10:52.0	holiday autos	Bologna Airport	
10:52.0	bsp-auto	Bologna Airport	
10:52.0	easycar	Bologna Airport	
10:52.0	wisecars	Bologna Airport	
10:52.0	argus car hire	Bologna Airport	
10:52.0	holiday autos	Bologna Airport	
10:52.0	edreams	Bologna Airport	
10:52.0	bsp-auto	Bologna Airport	
10:52.0	easycar	Bologna Airport	
10:52.0	wisecars	Bologna Airport	
10:52.0	argus car hire	Bologna Airport	
10:52.0	holiday autos	Bologna Airport	
10:52.0	edreams	Bologna Airport	
10:52.0	wisecars	Bologna Airport	
10:52.0	easycar	Bologna Airport	
10:52.0	argus car hire	Bologna Airport	
10:52.0	holiday autos	Bologna Airport	
10:52.0	edreams	Bologna Airport	
10:52.0	bsp-auto	Bologna Airport	
10:52.0	easycar	Bologna Airport	
10:52.0	wisecars	Bologna Airport	
10:52.0	argus car hire	Bologna Airport	
10:52.0	holiday autos	Bologna Airport	
10:52.0	edreams	Bologna Airport	
10:52.0	bsp-auto	Bologna Airport	
10:52.0	easycar	Bologna Airport	
10:52.0	bsp-auto	Bologna Airport	
10:52.0	argus car hire	Bologna Airport	
10:52.0	holiday autos	Bologna Airport	
10:52.0	edreams	Bologna Airport	
10:52.0	bsp-auto	Bologna Airport	
10:52.0	wisecars	Bologna Airport	
10:52.0	easycar	Bologna Airport	
10:52.0	argus car hire	Bologna Airport	
10:52.0	holiday autos	Bologna Airport	
10:52.0	edreams	Bologna Airport	
10:52.0	easycar	Bologna Airport	
10:52.0	wisecars	Bologna Airport	
10:52.0	argus car hire	Bologna Airport	
10:52.0	holiday autos	Bologna Airport	
10:52.0	edreams	Bologna Airport	
10:52.0	bsp-auto	Bologna Airport	
10:52.0	easycar	Bologna Airport	
10:52.0	argus car hire	Bologna Airport	
10:52.0	holiday autos	Bologna Airport	
10:52.0	edreams	Bologna Airport	
10:52.0	easycar	Bologna Airport	
10:52.0	holiday autos	Bologna Airport	
10:52.0	argus car hire	Bologna Airport	
10:52.0	edreams	Bologna Airport	
10:52.0	easycar	Bologna Airport	
10:52.0	holiday autos	Bologna Airport	
10:52.0	argus car hire	Bologna Airport	
10:52.0	edreams	Bologna Airport	
10:52.0	easycar	Bologna Airport	
10:52.0	holiday autos	Bologna Airport	
10:52.0	argus car hire	Bologna Airport	
10:52.0	edreams	Bologna Airport	
10:52.0	easycar	Bologna Airport	
10:52.0	bsp-auto	Bologna Airport	
10:52.0	argus car hire	Bologna Airport	
10:52.0	holiday autos	Bologna Airport	
10:52.0	edreams	Bologna Airport	
10:52.0	bsp-auto	Bologna Airport	
10:52.0	easycar	Bologna Airport	
10:52.0	argus car hire	Bologna Airport	
10:52.0	holiday autos	Bologna Airport	
10:52.0	edreams	Bologna Airport	
