Value	Count	
€176	4	
€147	5	
€165	13	
€172	6	
€149	1	
€154	8	
€158	6	
€173	4	
€185	6	
€370	12	
€156	3	
€160	3	
€178	6	
€188	5	
€201	8	
€168	8	
€187	8	
€199	9	
€169	4	
€186	6	
€213	7	
€182	5	
€203	14	
€171	3	
€181	8	
€190	8	
€206	11	
€214	8	
€196	9	
€208	6	
€236	6	
€320	10	
€197	6	
€221	5	
€238	6	
€210	11	
€249	8	
€108	6	
€110	4	
€114	2	
€132	3	
€118	1	
€121	2	
€125	4	
€146	2	
€124	4	
€127	4	
€131	3	
€153	4	
€126	2	
€137	3	
€140	4	
€159	1	
€164	5	
€141	1	
€142	3	
€145	3	
€170	3	
€143	7	
€151	3	
€155	3	
€179	4	
€180	5	
€183	6	
€192	1	
€379	17	
€157	4	
€161	4	
€189	7	
€175	10	
€177	4	
€209	6	
€218	10	
€207	6	
€219	6	
€211	2	
€220	3	
€184	7	
€193	7	
€191	4	
€226	4	
€393	14	
€195	7	
€231	5	
€247	4	
€198	5	
€205	2	
€224	8	
€229	4	
€240	4	
€436	10	
€194	2	
€230	3	
€233	5	
€442	26	
€204	9	
€217	7	
€246	6	
€326	24	
€212	4	
€252	12	
€254	7	
€242	9	
€245	9	
€294	20	
€303	18	
€258	9	
€261	4	
€311	9	
€319	11	
€266	5	
€288	9	
€222	5	
€225	8	
€232	3	
€257	10	
€268	4	
€223	3	
€237	7	
€269	9	
€348	13	
€270	21	
€234	4	
€253	8	
€241	8	
€276	3	
€244	4	
€290	9	
€256	14	
€300	16	
€343	22	
€505	6	
€243	10	
€277	17	
€248	5	
€285	16	
€259	12	
€260	11	
€255	7	
€321	10	
€322	23	
€324	9	
€389	15	
€292	17	
€309	15	
€263	20	
€314	11	
€262	5	
€278	8	
€316	17	
€376	23	
€267	26	
€312	20	
€275	5	
€271	5	
€327	10	
€383	11	
€274	9	
€279	2	
€281	11	
€291	3	
€336	22	
€280	8	
€283	11	
€338	5	
€325	7	
€284	4	
€298	13	
€333	16	
€349	9	
€561	20	
€350	17	
€282	6	
€330	9	
€341	9	
€313	16	
€315	5	
€377	12	
€378	31	
€301	12	
€286	6	
€318	10	
€293	12	
€296	9	
€305	15	
€339	20	
€295	4	
€357	25	
€297	19	
€356	27	
€361	17	
€323	13	
€340	21	
€347	17	
€328	15	
€337	14	
€363	14	
€374	26	
€351	5	
€358	13	
€346	12	
€352	16	
€355	19	
€353	15	
€304	8	
€302	12	
€308	16	
€368	10	
€334	13	
€385	15	
€396	31	
€342	12	
€375	20	
€401	10	
€621	4	
€364	22	
€391	11	
€419	7	
€344	12	
€335	9	
€400	16	
€415	9	
€412	13	
€449	25	
€354	15	
€367	9	
€402	19	
€398	22	
€443	13	
€429	11	
€439	17	
€360	15	
€435	11	
€384	10	
€362	8	
€397	20	
€365	5	
€371	11	
€394	10	
€425	10	
€388	16	
€406	8	
€468	9	
€423	12	
€392	38	
€372	21	
€444	29	
€381	15	
€382	24	
€428	18	
€460	9	
€386	3	
€387	12	
€469	34	
€399	13	
€404	20	
€408	17	
€417	13	
€395	10	
€488	10	
€410	14	
€445	13	
€403	12	
€486	18	
€497	11	
€554	6	
€409	8	
€430	18	
€413	15	
€414	6	
€498	9	
€510	27	
€464	11	
€515	10	
€523	10	
€421	24	
€424	25	
€416	11	
€452	7	
€461	19	
€418	22	
€456	7	
€441	23	
€451	17	
€420	22	
€506	12	
€465	16	
€472	14	
€513	3	
€438	13	
€447	19	
€426	11	
€481	7	
€427	9	
€431	21	
€432	8	
€434	12	
€477	26	
€437	10	
€459	15	
€500	13	
€502	7	
€605	21	
€620	14	
€511	19	
€470	14	
€487	34	
€494	15	
€549	11	
€552	22	
€534	9	
€448	11	
€490	24	
€446	26	
€474	28	
€485	6	
€453	16	
€546	11	
€457	4	
€553	2	
€586	5	
€462	15	
€512	15	
€466	12	
€557	10	
€568	13	
€526	20	
€478	10	
€471	15	
€489	9	
€473	8	
€476	21	
€533	17	
€574	13	
€615	3	
€606	21	
€613	11	
€664	6	
€479	11	
€649	9	
€483	17	
€484	8	
€495	7	
€612	7	
€529	20	
€491	12	
€538	7	
€493	9	
€536	23	
€547	8	
€517	4	
€647	20	
€655	4	
€709	4	
€524	16	
€530	6	
€539	6	
€608	5	
€550	18	
€559	4	
€634	4	
€514	25	
€520	9	
€563	25	
€527	9	
€516	11	
€518	7	
€545	10	
€558	11	
€521	7	
€532	10	
€607	3	
€632	8	
€678	12	
€567	10	
€602	10	
€525	20	
€592	5	
€748	6	
€583	6	
€540	5	
€543	10	
€531	5	
€556	2	
€643	8	
€578	10	
€590	9	
€599	13	
€585	9	
€541	8	
€542	4	
€609	4	
€702	7	
€544	11	
€579	15	
€588	6	
€555	16	
€548	8	
€619	5	
€551	5	
€665	3	
€562	15	
€597	20	
€651	11	
€596	6	
€603	12	
€653	18	
€564	8	
€565	7	
€576	14	
€584	15	
€591	16	
€640	11	
€637	16	
€697	16	
€630	3	
€671	9	
€617	6	
€624	15	
€676	18	
€854	8	
€626	1	
€661	3	
€715	5	
€654	4	
€727	4	
€738	3	
€672	11	
€674	11	
€703	9	
€813	4	
€705	7	
€764	7	
€711	11	
€771	3	
€767	6	
€832	2	
€749	4	
€803	1	
€627	3	
€638	7	
€644	5	
€662	9	
€668	4	
€680	4	
€683	17	
€673	2	
€716	9	
€760	4	
€687	3	
€775	1	
€689	10	
€751	3	
€692	3	
€694	3	
€724	5	
€812	6	
€766	9	
€699	1	
€789	2	
€700	3	
€713	9	
€712	3	
€726	2	
€804	13	
€718	6	
€779	4	
€732	18	
€826	7	
€739	22	
€742	4	
€773	2	
€838	6	
€750	14	
€759	5	
€823	3	
€763	2	
€921	10	
€932	6	
€1011	4	
€777	15	
€1105	5	
€855	9	
€786	4	
€795	4	
€862	8	
€802	15	
€810	14	
€879	9	
€806	3	
€809	1	
€844	1	
€976	1	
€834	4	
€836	1	
€919	10	
€850	2	
€872	1	
€944	1	
€889	2	
€964	2	
€977	4	
€215	4	
€904	1	
€917	1	
€943	1	
€1023	2	
€1085	4	
€1190	2	
€1118	1	
€1213	2	
€1168	1	
€1171	1	
€1175	1	
€1418	1	
€1250	5	
€1264	5	
€1373	2	
€1323	2	
€1336	6	
€1351	1	
€1467	2	
€1349	2	
€1419	3	
€1577	2	
€1601	1	
€1575	9	
€1621	1	
€1750	2	
€1778	1	
€1609	1	
€1615	1	
€1622	1	
€1957	1	
€1850	2	
€1857	2	
€1865	2	
€2160	1	
€2251	2	
€1897	10	
€1953	1	
€1960	1	
€1969	1	
€2280	1	
€2376	1	
€123	2	
€167	3	
€200	8	
€216	3	
€264	6	
€235	4	
€287	5	
€310	5	
€299	13	
€380	13	
€332	9	
€345	2	
€307	13	
€306	7	
€369	8	
€331	3	
€359	17	
€422	9	
€411	15	
€616	4	
€482	16	
€405	3	
€519	4	
€458	20	
€499	2	
€433	10	
€496	10	
€501	16	
€463	7	
€480	15	
€587	2	
€504	12	
€566	4	
€528	11	
€628	5	
€663	4	
€708	4	
€774	7	
€781	5	
€937	1	
€856	4	
€614	11	
€535	19	
€537	7	
€677	6	
€573	13	
€582	5	
€994	8	
€601	11	
€691	3	
€720	2	
€598	9	
€704	3	
€610	7	
€611	5	
€679	7	
€666	24	
€669	10	
€698	13	
€675	2	
€686	12	
€729	3	
€740	3	
€753	5	
€841	2	
€849	6	
€788	7	
€807	5	
€906	9	
€882	7	
€968	2	
€890	4	
€965	7	
€980	1	
€1106	2	
€797	1	
€800	1	
€805	3	
€966	9	
€811	4	
€819	6	
€833	5	
€866	7	
€865	14	
€947	1	
€951	4	
€1043	3	
€1010	2	
€1003	2	
€1018	1	
€1012	2	
€1028	1	
